Vorname_Nachname;Nachname;Vorname;Geschlecht;Fraktion
Jens Ackermann;Ackermann;Jens;m;FDP
Christian Ahrendt;Ahrendt;Christian;m;FDP
Ilse Aigner;Aigner;Ilse;f;CDU/CSU
Jan van Aken;van Aken;Jan;m;DIE LINKE
Agnes Alpers;Alpers;Agnes;f;DIE LINKE
Peter Altmaier;Altmaier;Peter;m;CDU/CSU
Kerstin Andreae;Andreae;Kerstin;f;BÜNDNIS 90/DIE GRÜNEN
Ingrid Arndt-Brauer;Arndt-Brauer;Ingrid;f;SPD
Rainer Arnold;Arnold;Rainer;m;SPD
Christine Aschenberg-Dugnus;Aschenberg-Dugnus;Christine;f;FDP
Peter Aumer;Aumer;Peter;m;CDU/CSU
Daniel Bahr;Bahr;Daniel;m;FDP
Dorothee Bär;Bär;Dorothee;f;CDU/CSU
Heinz-Joachim Barchmann;Barchmann;Heinz-Joachim;m;SPD
Thomas Bareiß;Bareiß;Thomas;m;CDU/CSU
Doris Barnett;Barnett;Doris;f;SPD
Hans-Peter Bartels;Bartels;Hans-Peter;m;SPD
Klaus Barthel;Barthel;Klaus;m;SPD
Norbert Barthle;Barthle;Norbert;m;CDU/CSU
Sören Bartol;Bartol;Sören;m;SPD
Dietmar Bartsch;Bartsch;Dietmar;m;DIE LINKE
Bärbel Bas;Bas;Bärbel;f;SPD
Sabine Bätzing-Lichtenthäler;Bätzing-Lichtenthäler;Sabine;f;SPD
Günter Baumann;Baumann;Günter;m;CDU/CSU
Ernst-Reinhard Beck;Beck;Ernst-Reinhard;m;CDU/CSU
Marieluise Beck;Beck;Marieluise;f;BÜNDNIS 90/DIE GRÜNEN
Volker Beck;Beck;Volker;m;BÜNDNIS 90/DIE GRÜNEN
Dirk Becker;Becker;Dirk;m;SPD
Uwe Beckmeyer;Beckmeyer;Uwe;m;SPD
Cornelia Behm;Behm;Cornelia;f;BÜNDNIS 90/DIE GRÜNEN
Herbert Behrens;Behrens;Herbert;m;DIE LINKE
Manfred Behrens;Behrens;Manfred;m;CDU/CSU
Veronika Bellmann;Bellmann;Veronika;f;CDU/CSU
Birgitt Bender;Bender;Birgitt;f;BÜNDNIS 90/DIE GRÜNEN
Christoph Bergner;Bergner;Christoph;m;CDU/CSU
Florian Bernschneider;Bernschneider;Florian;m;FDP
Peter Beyer;Beyer;Peter;m;CDU/CSU
Steffen Bilger;Bilger;Steffen;m;CDU/CSU
Karin Binder;Binder;Karin;f;DIE LINKE
Lothar Binding;Binding;Lothar;m;SPD
Clemens Binninger;Binninger;Clemens;m;CDU/CSU
Matthias W. Birkwald;Birkwald;Matthias W.;m;DIE LINKE
Peter Bleser;Bleser;Peter;m;CDU/CSU
Heidrun Bluhm;Bluhm;Heidrun;f;DIE LINKE
Sebastian Blumenthal;Blumenthal;Sebastian;m;FDP
Steffen Bockhahn;Bockhahn;Steffen;m;DIE LINKE
Claudia Bögel;Bögel;Claudia;f;FDP
Maria Böhmer;Böhmer;Maria;f;CDU/CSU
Gerd Bollmann;Bollmann;Gerd;m;SPD
Alexander Bonde;Bonde;Alexander;m;BÜNDNIS 90/DIE GRÜNEN
Wolfgang Börnsen;Börnsen;Wolfgang;m;CDU/CSU
Wolfgang Bosbach;Bosbach;Wolfgang;m;CDU/CSU
Nicole Bracht-Bendt;Bracht-Bendt;Nicole;f;FDP
Norbert Brackmann;Brackmann;Norbert;m;CDU/CSU
Klaus Brähmig;Brähmig;Klaus;m;CDU/CSU
Michael Brand;Brand;Michael;m;CDU/CSU
Reinhard Brandl;Brandl;Reinhard;m;CDU/CSU
Klaus Brandner;Brandner;Klaus;m;SPD
Helmut Brandt;Brandt;Helmut;m;CDU/CSU
Willi Brase;Brase;Willi;m;SPD
Ralf Brauksiepe;Brauksiepe;Ralf;m;CDU/CSU
Helge Braun;Braun;Helge;f;CDU/CSU
Heike Brehmer;Brehmer;Heike;f;CDU/CSU
Klaus Breil;Breil;Klaus;m;FDP
Ralph Brinkhaus;Brinkhaus;Ralph;m;CDU/CSU
Bernhard Brinkmann;Brinkmann;Bernhard;m;SPD
Rainer Brüderle;Brüderle;Rainer;m;FDP
Agnes Brugger;Brugger;Agnes;f;BÜNDNIS 90/DIE GRÜNEN
Angelika Brunkhorst;Brunkhorst;Angelika;f;FDP
Christine Buchholz;Buchholz;Christine;f;DIE LINKE
Eva Bulling-Schröter;Bulling-Schröter;Eva;f;DIE LINKE
Edelgard Bulmahn;Bulmahn;Edelgard;f;SPD
Marco Bülow;Bülow;Marco;m;SPD
Martina Bunge;Bunge;Martina;f;DIE LINKE
Ulla Burchardt;Burchardt;Ulla;f;SPD
Ernst Burgbacher;Burgbacher;Ernst;m;FDP
Martin Burkert;Burkert;Martin;m;SPD
Marco Buschmann;Buschmann;Marco;m;FDP
Cajus Caesar;Caesar;Cajus;m;CDU/CSU
Sylvia Canel;Canel;Sylvia;f;FDP
Roland Claus;Claus;Roland;m;DIE LINKE
Gitta Connemann;Connemann;Gitta;f;CDU/CSU
Viola von Cramon-Taubadel;von Cramon-Taubadel;Viola;f;BÜNDNIS 90/DIE GRÜNEN
Petra Crone;Crone;Petra;f;SPD
Peter Danckert;Danckert;Peter;m;SPD
Helga Daub;Daub;Helga;f;FDP
Leo Dautzenberg;Dautzenberg;Leo;m;CDU/CSU
Sevim Dağdelen;Dağdelen;Sevim;f;DIE LINKE
Diether Dehm;Dehm;Diether;m;DIE LINKE
Ekin Deligöz;Deligöz;Ekin;f;BÜNDNIS 90/DIE GRÜNEN
Reiner Deutschmann;Deutschmann;Reiner;m;FDP
Heidrun Dittrich;Dittrich;Heidrun;f;DIE LINKE
Bijan Djir-Sarai;Djir-Sarai;Bijan;m;FDP
Alexander Dobrindt;Dobrindt;Alexander;m;CDU/CSU
Thomas Dörflinger;Dörflinger;Thomas;m;CDU/CSU
Patrick Döring;Döring;Patrick;m;FDP
Martin Dörmann;Dörmann;Martin;m;SPD
Katja Dörner;Dörner;Katja;f;BÜNDNIS 90/DIE GRÜNEN
Marie-Luise Dött;Dött;Marie-Luise;f;CDU/CSU
Werner Dreibus;Dreibus;Werner;m;DIE LINKE
Gerhard Drexler;Drexler;Gerhard;m;FDP
Elvira Drobinski-Weiß;Drobinski-Weiß;Elvira;f;SPD
Garrelt Duin;Duin;Garrelt;m;SPD
Mechthild Dyckmans;Dyckmans;Mechthild;f;FDP
Harald Ebner;Ebner;Harald;m;BÜNDNIS 90/DIE GRÜNEN
Sebastian Edathy;Edathy;Sebastian;m;SPD
Ingo Egloff;Egloff;Ingo;m;SPD
Hans-Werner Ehrenberg;Ehrenberg;Hans-Werner;m;FDP
Siegmund Ehrmann;Ehrmann;Siegmund;m;SPD
Dagmar Enkelmann;Enkelmann;Dagmar;f;DIE LINKE
Rainer Erdel;Erdel;Rainer;m;FDP
Gernot Erler;Erler;Gernot;m;SPD
Klaus Ernst;Ernst;Klaus;m;DIE LINKE
Petra Ernstberger;Ernstberger;Petra;f;SPD
Jörg van Essen;van Essen;Jörg;m;FDP
Karin Evers-Meyer;Evers-Meyer;Karin;f;SPD
Thomas Feist;Feist;Thomas;m;CDU/CSU
Hans-Josef Fell;Fell;Hans-Josef;m;BÜNDNIS 90/DIE GRÜNEN
Enak Ferlemann;Ferlemann;Enak;m;CDU/CSU
Elke Ferner;Ferner;Elke;f;SPD
Ingrid Fischbach;Fischbach;Ingrid;f;CDU/CSU
Axel E. Fischer;Fischer;Axel E.;m;CDU/CSU
Dirk Fischer;Fischer;Dirk;m;CDU/CSU
Hartwig Fischer;Fischer;Hartwig;m;CDU/CSU
Ulrike Flach;Flach;Ulrike;f;FDP
Maria Flachsbarth;Flachsbarth;Maria;f;CDU/CSU
Klaus-Peter Flosbach;Flosbach;Klaus-Peter;m;CDU/CSU
Gabriele Fograscher;Fograscher;Gabriele;f;SPD
Edgar Franke;Franke;Edgar;m;SPD
Herbert Frankenhauser;Frankenhauser;Herbert;m;CDU/CSU
Dagmar Freitag;Freitag;Dagmar;f;SPD
Otto Fricke;Fricke;Otto;m;FDP
Paul K. Friedhoff;Friedhoff;Paul K.;m;FDP
Hans-Peter Friedrich;Friedrich;Hans-Peter;m;CDU/CSU
Peter Friedrich;Friedrich;Peter;m;SPD
Michael Frieser;Frieser;Michael;m;CDU/CSU
Erich G. Fritz;Fritz;Erich G.;m;CDU/CSU
Michael Fuchs;Fuchs;Michael;m;CDU/CSU
Hans-Joachim Fuchtel;Fuchtel;Hans-Joachim;m;CDU/CSU
Alexander Funk;Funk;Alexander;m;CDU/CSU
Sigmar Gabriel;Gabriel;Sigmar;m;SPD
Ingo Gädechens;Gädechens;Ingo;m;CDU/CSU
Thomas Gambke;Gambke;Thomas;m;BÜNDNIS 90/DIE GRÜNEN
Peter Gauweiler;Gauweiler;Peter;m;CDU/CSU
Thomas Gebhart;Gebhart;Thomas;m;CDU/CSU
Wolfgang Gehrcke;Gehrcke;Wolfgang;m;DIE LINKE
Kai Gehring;Gehring;Kai;m;BÜNDNIS 90/DIE GRÜNEN
Norbert Geis;Geis;Norbert;m;CDU/CSU
Edmund Peter Geisen;Geisen;Edmund Peter;m;FDP
Michael Gerdes;Gerdes;Michael;m;SPD
Wolfgang Gerhardt;Gerhardt;Wolfgang;m;FDP
Alois Gerig;Gerig;Alois;m;CDU/CSU
Martin Gerster;Gerster;Martin;m;SPD
Eberhard Gienger;Gienger;Eberhard;m;CDU/CSU
Iris Gleicke;Gleicke;Iris;f;SPD
Michael Glos;Glos;Michael;m;CDU/CSU
Günter Gloser;Gloser;Günter;m;SPD
Nicole Gohlke;Gohlke;Nicole;f;DIE LINKE
Hans-Michael Goldmann;Goldmann;Hans-Michael;m;FDP
Heinz Golombeck;Golombeck;Heinz;m;FDP
Diana Golze;Golze;Diana;f;DIE LINKE
Josef Göppel;Göppel;Josef;m;CDU/CSU
Katrin Göring-Eckardt;Göring-Eckardt;Katrin;f;BÜNDNIS 90/DIE GRÜNEN
Ulrike Gottschalck;Gottschalck;Ulrike;f;SPD
Peter Götz;Götz;Peter;m;CDU/CSU
Wolfgang Götzer;Götzer;Wolfgang;m;CDU/CSU
Angelika Graf;Graf;Angelika;f;SPD
Ute Granold;Granold;Ute;f;CDU/CSU
Kerstin Griese;Griese;Kerstin;f;SPD
Reinhard Grindel;Grindel;Reinhard;m;CDU/CSU
Hermann Gröhe;Gröhe;Hermann;m;CDU/CSU
Gabriele Groneberg;Groneberg;Gabriele;f;SPD
Michael Groschek;Groschek;Michael;m;SPD
Michael Peter Groß;Groß;Michael Peter;m;SPD
Michael Grosse-Brömer;Grosse-Brömer;Michael;m;CDU/CSU
Astrid Grotelüschen;Grotelüschen;Astrid;f;CDU/CSU
Annette Groth;Groth;Annette;f;DIE LINKE
Markus Grübel;Grübel;Markus;m;CDU/CSU
Manfred Grund;Grund;Manfred;m;CDU/CSU
Miriam Gruß;Gruß;Miriam;f;FDP
Monika Grütters;Grütters;Monika;f;CDU/CSU
Wolfgang Gunkel;Gunkel;Wolfgang;m;SPD
Joachim Günther;Günther;Joachim;m;FDP
Karl-Theodor Freiherr zu Guttenberg;Freiherr zu Guttenberg;Karl-Theodor;m;CDU/CSU
Olav Gutting;Gutting;Olav;m;CDU/CSU
Gregor Gysi;Gysi;Gregor;m;DIE LINKE
Hans-Joachim Hacker;Hacker;Hans-Joachim;m;SPD
Bettina Hagedorn;Hagedorn;Bettina;f;SPD
Klaus Hagemann;Hagemann;Klaus;m;SPD
Florian Hahn;Hahn;Florian;m;CDU/CSU
Holger Haibach;Haibach;Holger;m;CDU/CSU
Heike Hänsel;Hänsel;Heike;f;DIE LINKE
Christel Happach-Kasan;Happach-Kasan;Christel;f;FDP
Stephan Harbarth;Harbarth;Stephan;m;CDU/CSU
